연도,행정구역_동,총인구수,남자_인구수,여자_인구수
2016,고잔동,20964.0,10562.0,10402.0
2016,대부동,8171.0,4267.0,3904.0
2016,반월동,20266.0,10290.0,9976.0
2016,백운동,5847.0,3077.0,2770.0
2016,본오1동,43591.0,22369.0,21222.0
2016,본오2동,30631.0,15122.0,15509.0
2016,본오3동,23437.0,11663.0,11774.0
2016,부곡동,24243.0,12372.0,11871.0
2016,사동,38752.0,20104.0,18648.0
2016,사이동,35761.0,18071.0,17690.0
2016,선부1동,12861.0,6644.0,6217.0
2016,선부2동,22633.0,12211.0,10422.0
2016,선부3동,35602.0,18198.0,17404.0
2016,성포동,26652.0,13124.0,13528.0
2016,신길동,16409.0,8242.0,8167.0
2016,안산동,10079.0,5225.0,4854.0
2016,와동,44747.0,23489.0,21258.0
2016,원곡동,33004.0,17880.0,15124.0
2016,월피동,45366.0,23218.0,22148.0
2016,이동,28988.0,15303.0,13685.0
2016,일동,28258.0,14340.0,13918.0
2016,중앙동,21884.0,10860.0,11024.0
2016,초지동,43008.0,21956.0,21052.0
2016,해양동,19833.0,10278.0,9555.0
2016,호수동,48872.0,24529.0,24343.0
2017,고잔동,20883.0,10461.0,10422.0
2017,대부동,8370.0,4384.0,3986.0
2017,반월동,19719.0,10011.0,9708.0
2017,백운동,19816.0,10088.0,9728.0
2017,본오1동,43250.0,22185.0,21065.0
2017,본오2동,30212.0,14951.0,15261.0
2017,본오3동,22882.0,11355.0,11527.0
2017,부곡동,24274.0,12430.0,11844.0
2017,사동,38273.0,19917.0,18356.0
2017,사이동,35135.0,17823.0,17312.0
2017,선부1동,11639.0,6000.0,5639.0
2017,선부2동,21966.0,11913.0,10053.0
2017,선부3동,35177.0,17965.0,17212.0
2017,성포동,26387.0,13008.0,13379.0
2017,신길동,24889.0,13246.0,11643.0
2017,안산동,9958.0,5160.0,4798.0
2017,와동,44010.0,23104.0,20906.0
2017,원곡동,7704.0,4503.0,3201.0
2017,월피동,44518.0,22827.0,21691.0
2017,이동,28391.0,14998.0,13393.0
2017,일동,28311.0,14362.0,13949.0
2017,중앙동,21487.0,10666.0,10821.0
2017,초지동,42637.0,21811.0,20826.0
2017,해양동,19434.0,10075.0,9359.0
2017,호수동,48388.0,24342.0,24046.0
2018,고잔동,21792.0,10938.0,10854.0
